"species","Rank_ED","ED","Rank_min0","EvoHeritage_min0","Rank_min66","EvoHeritage_min66","Rank_min145","EvoHeritage_min145","change_min0_vs_ED","change_min66_vs_ED","change_min145_vs_ED","scientificname","valid_name","class","order","family","genus","major_group"
"Pristis zijsron",43,80.9965445166664,34,61.8045785932074,45,15.8314463929186,62,2.5495802982487,-9,2,19,"Pristis zijsron","Pristis zijsron","Elasmobranchii","Rhinopristiformes","Pristidae","Pristis","ray"
"Mitsukurina owstoni",5,138.616999110635,3,81.9381804783703,5,29.9409127474861,31,3.75008434456861,-2,0,26,"Mitsukurina owstoni","Mitsukurina owstoni","Elasmobranchii","Lamniformes","Mitsukurinidae","Mitsukurina","shark"
"Heterodontus francisci",7,120.577239087092,8,75.853956391848,3,32.4428418556581,3,9.88174609613658,1,-4,-4,"Heterodontus francisci","Heterodontus francisci","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus","shark"
"Carcharias taurus",9,110.368168349206,14,73.1204018461554,15,24.5827571689558,29,3.89900095410674,5,6,20,"Carcharias taurus","Carcharias taurus","Elasmobranchii","Lamniformes","Odontaspididae","Carcharias","shark"
"Alopias superciliosus",10,108.130378747778,18,71.1998245757383,18,22.5107839368468,24,4.21627187864933,8,8,14,"Alopias superciliosus","Alopias superciliosus","Elasmobranchii","Lamniformes","Alopiidae","Alopias","shark"
"Notorynchus cepedianus",11,108.122896296644,12,73.8148252004901,6,28.9643411235372,9,6.24267693891554,1,-5,-2,"Notorynchus cepedianus","Notorynchus cepedianus","Elasmobranchii","Hexanchiformes","Hexanchidae","Notorynchus","shark"
"Leptocharias smithii",12,107.871249574441,25,66.7882810337066,30,18.1595494076948,800,0.271251683084167,13,18,788,"Leptocharias smithii","Leptocharias smithii","Elasmobranchii","Carcharhiniformes","Leptochariidae","Leptocharias","shark"
"Brachaelurus colcloughi",13,106.983319344262,10,74.2770806728851,13,25.2479759741452,10,5.95823801731953,-3,0,-3,"Brachaelurus colcloughi","Brachaelurus colcloughi","Elasmobranchii","Orectolobiformes","Brachaeluridae","Brachaelurus","shark"
"Brachaelurus waddi",14,106.983319344262,6,75.968119208115,11,26.3353414350832,16,5.4015834057728,-8,-3,2,"Brachaelurus waddi","Brachaelurus waddi","Elasmobranchii","Orectolobiformes","Brachaeluridae","Brachaelurus","shark"
"Heterodontus mexicanus",17,103.119928327092,11,74.1771658850687,19,22.1567995525913,7,6.90291288069968,-6,2,-10,"Heterodontus mexicanus","Heterodontus mexicanus","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus","shark"
"Trigonognathus kabeyai",18,102.743378303653,22,67.9165905504409,26,19.3155082413862,251,1.1398716687174,4,8,233,"Trigonognathus kabeyai","Trigonognathus kabeyai","Elasmobranchii","Squaliformes","Etmopteridae","Trigonognathus","shark"
"Pseudoginglymostoma brevicaudatum",19,102.561570455691,15,72.7168712536865,10,26.5696136024982,20,5.0558169922886,-4,-9,1,"Pseudoginglymostoma brevicaudatum","Pseudoginglymostoma brevicaudatum","Elasmobranchii","Orectolobiformes","Ginglymostomatidae","Pseudoginglymostoma","shark"
"Cetorhinus maximus",20,100.944419104206,20,69.6695893493582,23,20.3296236435696,43,3.36860738010478,0,3,23,"Cetorhinus maximus","Cetorhinus maximus","Elasmobranchii","Lamniformes","Cetorhinidae","Cetorhinus","shark"
"Pliotrema warreni",23,98.6604630037834,27,66.4266105303699,20,22.0250951843652,73,2.4080006929852,4,-3,50,"Pliotrema warreni","Pliotrema warreni","Elasmobranchii","Pristiophoriformes","Pristiophoridae","Pliotrema","shark"
"Dalatias licha",24,98.6090018008094,19,70.6463589467758,12,25.6686712935167,184,1.36877940521987,-5,-12,160,"Dalatias licha","Dalatias licha","Elasmobranchii","Squaliformes","Dalatiidae","Dalatias","shark"
"Eucrossorhinus dasypogon",25,96.0110490042622,24,67.3229699462031,22,21.2666510326363,27,4.09191819016592,-1,-3,2,"Eucrossorhinus dasypogon","Eucrossorhinus dasypogon","Elasmobranchii","Orectolobiformes","Orectolobidae","Eucrossorhinus","shark"
"Hemipristis elongata",26,95.4789400873739,31,62.4888766248434,60,13.8875459077871,756,0.290159482259199,5,34,730,"Hemipristis elongata","Hemipristis elongata","Elasmobranchii","Carcharhiniformes","Hemigaleidae","Hemipristis","shark"
"Alopias vulpinus",27,91.3227227874443,23,67.3450667004608,32,17.8244935254022,71,2.41287925911214,-4,5,44,"Alopias vulpinus","Alopias vulpinus","Elasmobranchii","Lamniformes","Alopiidae","Alopias","shark"
"Alopias pelagicus",28,91.3227227874443,28,66.1031777010132,29,18.6657335367834,48,3.10290023960803,0,1,20,"Alopias pelagicus","Alopias pelagicus","Elasmobranchii","Lamniformes","Alopiidae","Alopias","shark"
"Galeocerdo cuvier",30,88.006459695559,43,59.6510309565959,89,11.3073726591424,901,0.237516412529879,13,59,871,"Galeocerdo cuvier","Galeocerdo cuvier","Elasmobranchii","Carcharhiniformes","Galeocerdonidae","Galeocerdo","shark"
"Chlamydoselachus anguineus",33,86.620362642149,118,44.2362358821018,24,19.3351458348166,4,7.73883212837806,85,-9,-29,"Chlamydoselachus anguineus","Chlamydoselachus anguineus","Elasmobranchii","Hexanchiformes","Chlamydoselachidae","Chlamydoselachus","shark"
